Rk,Player,Yds,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,Pos.,
,Jerick McKinnon,10,Thu,1,1,9/7/2023,31-127,KAN,,DET,L 20-21,2,1,10,10,0,50,5,1,50,RB,
,Scott Miller,10,Sun,5,5,10/8/2023,26-069,ATL,,HOU,W 21-19,2,2,10,5,0,100,5,,50,WR,
,Zach Pascal,10,Sun,4,4,10/1/2023,28-287,ARI,@,SFO,L 16-35,4,3,10,3.3,0,75,2.5,1,50,WR,
,Alec Pierce,10,Sun,5,5,10/8/2023,23-159,IND,,TEN,W 23-16,2,1,10,10,0,50,5,1,50,WR,
,Byron Pringle,10,Thu,5,5,10/5/2023,29-322,WAS,,CHI,L 20-40,2,1,10,10,0,50,5,1,50,WR,
,MyCole Pruitt,10,Sun,3,3,9/24/2023,31-184,ATL,@,DET,L 6-20,1,1,10,10,0,100,10,1,100,TE,
,Ronnie Rivers,10,Sun,4,4,10/1/2023,24-243,LAR,@,IND,W 29-23 (OT),2,2,10,5,0,100,5,0,0,RB,
,Devin Singletary,10,Sun,2,2,9/17/2023,26-014,HOU,,IND,L 20-31,1,1,10,10,0,100,10,1,100,RB,
,Ben Skowronek,10,Sun,2,2,9/17/2023,26-082,LAR,,SFO,L 23-30,1,1,10,10,0,100,10,1,100,WR,
,Irv Smith Jr.,10,Sun,2,2,9/17/2023,25-039,CIN,,BAL,L 24-27,4,2,10,5,0,50,2.5,1,25,TE,
,Jaxon Smith-Njigba,10,Sun,3,3,9/24/2023,21-222,SEA,,CAR,W 37-27,3,1,10,10,0,33.3,3.3,,0,WR,
,Rhamondre Stevenson,10,Sun,2,2,9/17/2023,25-206,NWE,,MIA,L 17-24,3,3,10,3.3,0,100,3.3,1,33.3,RB,
,Rhamondre Stevenson,10,Sun,4,4,10/1/2023,25-220,NWE,@,DAL,L 3-38,3,2,10,5,0,66.7,3.3,0,0,RB,
,Cody Thompson,10,Mon,4,4,10/2/2023,27-264,SEA,@,NYG,W 24-3,1,1,10,10,0,100,10,,0,WR,
,Deven Thompkins,10,Sun,1,1,9/10/2023,23-261,TAM,@,MIN,W 20-17,3,2,10,5,0,66.7,3.3,1,33.3,WR,
,Robert Tonyan,10,Thu,5,5,10/5/2023,29-158,CHI,@,WAS,W 40-20,2,2,10,5,0,100,5,1,50,TE,
,Darnell Washington,10,Sun,4,4,10/1/2023,22-045,PIT,@,HOU,L 6-30,1,1,10,10,0,100,10,1,100,TE,
,Rachaad White,10,Sun,1,1,9/10/2023,24-241,TAM,@,MIN,W 20-17,2,2,10,5,0,100,5,0,50,RB,
,Dontayvion Wicks,10,Mon,5,5,10/9/2023,22-115,GNB,@,LVR,L 13-17,1,1,10,10,0,100,10,1,100,WR,
,Mitchell Wilcox,10,Mon,3,3,9/25/2023,26-322,CIN,,LAR,W 19-16,3,2,10,5,0,66.7,3.3,,33.3,TE,
,Tutu Atwell,9,Sun,5,5,10/8/2023,24-001,LAR,,PHI,L 14-23,5,2,9,4.5,1,40,1.8,1,40,WR,
,Ty Chandler,9,Thu,2,2,9/14/2023,25-125,MIN,@,PHI,L 28-34,2,2,9,4.5,0,100,4.5,,0,RB,
,Zach Charbonnet,9,Mon,4,4,10/2/2023,22-267,SEA,@,NYG,W 24-3,3,1,9,9,0,33.3,3,0,33.3,RB,
,Gerald Everett,9,Sun,4,4,10/1/2023,29-098,LAC,,LVR,W 24-17,2,2,9,4.5,0,100,4.5,,0,TE,
,Kylen Granson,9,Sun,3,3,9/24/2023,25-181,IND,@,BAL,W 22-19 (OT),4,2,9,4.5,0,50,2.3,,25,TE,
,Noah Gray,9,Sun,3,3,9/24/2023,24-147,KAN,,CHI,W 41-10,2,1,9,9,0,50,4.5,,50,TE,
,Breece Hall,9,Sun,3,3,9/24/2023,22-116,NYJ,,NWE,L 10-15,2,1,9,9,0,50,4.5,0,50,RB,
,Deonte Harty,9,Mon,1,1,9/11/2023,25-281,BUF,@,NYJ,L 16-22 (OT),4,3,9,3,0,75,2.3,1,25,WR,
,Taysom Hill,9,Sun,3,3,9/24/2023,33-032,NOR,@,GNB,L 17-18,1,1,9,9,0,100,9,,100,TE/QB,
,Chuba Hubbard,9,Sun,1,1,9/10/2023,24-091,CAR,@,ATL,L 10-24,2,2,9,4.5,0,100,4.5,0,0,RB,
,Xavier Hutchinson,9,Sun,1,1,9/10/2023,23-101,HOU,@,BAL,L 9-25,1,1,9,9,0,100,9,1,100,WR,
,Andrei Iosivas,9,Sun,5,5,10/8/2023,23-358,CIN,@,ARI,W 34-20,2,1,9,9,0,50,4.5,,50,WR,
,Van Jefferson,9,Sun,2,2,9/17/2023,27-053,LAR,,SFO,L 23-30,4,1,9,9,0,25,2.3,,25,WR,
,Brandon Johnson,9,Sun,5,5,10/8/2023,25-074,DEN,,NYJ,L 21-31,1,1,9,9,0,100,9,,100,WR,
,D'Ernest Johnson,9,Sun,2,2,9/17/2023,27-202,JAX,,KAN,L 9-17,1,1,9,9,0,100,9,1,100,RB,
,Quentin Johnston,9,Sun,1,1,9/10/2023,22-004,LAC,,MIA,L 34-36,3,2,9,4.5,0,66.7,3,1,33.3,WR,
,Christian Kirk,9,Sun,1,1,9/10/2023,26-296,JAX,@,IND,W 31-21,3,1,9,9,0,33.3,3,,33.3,WR,
,George Kittle,9,Sun,4,4,10/1/2023,29-357,SFO,,ARI,W 35-16,1,1,9,9,0,100,9,1,100,TE,
,Marvin Mims,9,Sun,1,1,9/10/2023,21-175,DEN,,LVR,L 16-17,2,2,9,4.5,0,100,4.5,1,50,WR,
,Joe Mixon,9,Sun,4,4,10/1/2023,27-069,CIN,@,TEN,L 3-27,1,1,9,9,0,100,9,0,100,RB,
,Ty Montgomery,9,Sun,1,1,9/10/2023,30-231,NWE,,PHI,L 20-25,3,2,9,4.5,0,66.7,3,1,33.3,RB,
,Latavius Murray,9,Mon,1,1,9/11/2023,33-236,BUF,@,NYJ,L 16-22 (OT),2,1,9,9,0,50,4.5,1,50,RB,
,Latavius Murray,9,Sun,2,2,9/17/2023,33-242,BUF,,LVR,W 38-10,2,2,9,4.5,0,100,4.5,1,50,RB,
,Isiah Pacheco,9,Sun,5,5,10/8/2023,24-220,KAN,@,MIN,W 27-20,1,1,9,9,0,100,9,0,0,RB,
,Zach Pascal,9,Sun,2,2,9/17/2023,28-273,ARI,,NYG,L 28-31,1,1,9,9,0,100,9,,100,WR,
,Dameon Pierce,9,Sun,1,1,9/10/2023,23-203,HOU,@,BAL,L 9-25,3,2,9,4.5,0,66.7,3,,0,RB,
,Dalton Schultz,9,Sun,3,3,9/24/2023,27-075,HOU,@,JAX,W 37-17,3,1,9,9,0,33.3,3,,33.3,TE,
,Willie Snead,9,Sun,4,4,10/1/2023,30-349,SFO,,ARI,W 35-16,1,1,9,9,0,100,9,,100,WR,
,Sean Tucker,9,Sun,1,1,9/10/2023,21-320,TAM,@,MIN,W 20-17,2,2,9,4.5,0,100,4.5,0,50,RB,
,Cole Turner,9,Thu,5,5,10/5/2023,23-203,WAS,,CHI,L 20-40,1,1,9,9,0,100,9,,0,TE,
,KaVontae Turpin,9,Sun,2,2,9/17/2023,27-046,DAL,,NYJ,W 30-10,1,1,9,9,0,100,9,1,100,WR,
,C.J. Uzomah,9,Sun,3,3,9/24/2023,30-253,NYJ,,NWE,L 10-15,1,1,9,9,0,100,9,1,100,TE,
,Nick Westbrook-Ikhine,9,Sun,5,5,10/8/2023,26-201,TEN,@,IND,L 16-23,3,1,9,9,0,33.3,3,,33.3,WR,
,Javonte Williams,9,Sun,4,4,10/1/2023,23-159,DEN,@,CHI,W 31-28,3,3,9,3,0,100,3,,33.3,RB,
,Nate Adkins,8,Sun,4,4,10/1/2023,24-084,DEN,@,CHI,W 31-28,2,2,8,4,0,100,4,,0,TE,
,Rashod Bateman,8,Sun,5,5,10/8/2023,23-313,BAL,@,PIT,L 10-17,3,1,8,8,0,33.3,2.7,,33.3,WR,
,Daniel Bellinger,8,Thu,3,3,9/21/2023,22-364,NYG,@,SFO,L 12-30,1,1,8,8,0,100,8,,100,TE,
,Randall Cobb,8,Sun,4,4,10/1/2023,33-040,NYJ,,KAN,L 20-23,4,2,8,4,0,50,2,1,25,WR,
,James Conner,8,Sun,1,1,9/10/2023,28-128,ARI,@,WAS,L 16-20,5,5,8,1.6,0,100,1.6,1,20,RB,
,AJ Dillon,8,Sun,2,2,9/17/2023,25-138,GNB,@,ATL,L 24-25,1,1,8,8,0,100,8,0,100,RB,
,Rico Dowdle,8,Sun,4,4,10/1/2023,25-109,DAL,,NWE,W 38-3,1,1,8,8,0,100,8,0,100,RB,
,Devin Duvernay,8,Sun,4,4,10/1/2023,26-019,BAL,@,CLE,W 28-3,2,2,8,4,0,100,4,,0,WR,
,D'Onta Foreman,8,Sun,1,1,9/10/2023,27-139,CHI,,GNB,L 20-38,3,2,8,4,0,66.7,2.7,0,0,RB,
,Jimmy Graham,8,Sun,3,3,9/24/2023,36-304,NOR,@,GNB,L 17-18,1,1,8,8,1,100,8,1,100,TE,
,Keaontay Ingram,8,Sun,3,3,9/24/2023,23-333,ARI,,DAL,W 28-16,1,1,8,8,0,100,8,,0,RB,
,Marvin Jones,8,Thu,1,1,9/7/2023,33-179,DET,@,KAN,W 21-20,6,2,8,4,0,33.3,1.3,,0,WR,
,Zonovan Knight,8,Sun,5,5,10/8/2023,22-180,DET,,CAR,W 42-24,1,1,8,8,0,100,8,,100,RB,
,Marcedes Lewis,8,Sun,4,4,10/1/2023,39-135,CHI,,DEN,L 28-31,1,1,8,8,0,100,8,,100,TE,
,Isaiah Likely,8,Sun,2,2,9/17/2023,23-152,BAL,@,CIN,W 27-24,1,1,8,8,0,100,8,,100,TE,
,Rondale Moore,8,Sun,3,3,9/24/2023,23-107,ARI,,DAL,W 28-16,6,4,8,2,0,66.7,1.3,1,33.3,WR,
,Trey Palmer,8,Sun,1,1,9/10/2023,22-161,TAM,@,MIN,W 20-17,3,2,8,4,1,66.7,2.7,1,33.3,WR,
,Trey Palmer,8,Mon,3,3,9/25/2023,22-176,TAM,,PHI,L 11-25,1,1,8,8,0,100,8,1,100,WR,
,Colby Parkinson,8,Sun,1,1,9/10/2023,24-245,SEA,,LAR,L 13-30,2,1,8,8,0,50,4,,50,TE,
,Allen Robinson,8,Sun,4,4,10/1/2023,30-038,PIT,@,HOU,L 6-30,2,1,8,8,0,50,4,,0,WR,
,D'Andre Swift,8,Mon,3,3,9/25/2023,24-254,PHI,@,TAM,W 25-11,2,1,8,8,0,50,4,0,50,RB,
,Ian Thomas,8,Sun,3,3,9/24/2023,27-110,CAR,@,SEA,L 27-37,1,1,8,8,0,100,8,,0,TE,
,Daniel Bellinger,7,Sun,5,5,10/8/2023,23-016,NYG,@,MIA,L 16-31,1,1,7,7,0,100,7,,100,TE,
,Ronnie Bell,7,Sun,4,4,10/1/2023,23-246,SFO,,ARI,W 35-16,1,1,7,7,0,100,7,,100,WR,
,Brandin Cooks,7,Sun,5,5,10/8/2023,30-013,DAL,@,SFO,L 10-42,4,1,7,7,0,25,1.8,1,25,WR,
,Emari Demercado,7,Sun,2,2,9/17/2023,24-240,ARI,,NYG,L 28-31,2,2,7,3.5,0,100,3.5,,0,RB,
,Clyde Edwards-Helaire,7,Thu,1,1,9/7/2023,24-149,KAN,,DET,L 20-21,1,1,7,7,0,100,7,0,100,RB,
,Ezekiel Elliott,7,Sun,3,3,9/24/2023,28-064,NWE,@,NYJ,W 15-10,1,1,7,7,0,100,7,0,0,RB,
,Pat Freiermuth,7,Sun,4,4,10/1/2023,24-341,PIT,@,HOU,L 6-30,4,3,7,2.3,0,75,1.8,,25,TE,
,Kenneth Gainwell,7,Sun,4,4,10/1/2023,24-201,PHI,,WAS,W 34-31 (OT),2,2,7,3.5,0,100,3.5,1,50,RB,
,Kenneth Gainwell,7,Sun,5,5,10/8/2023,24-208,PHI,@,LAR,W 23-14,2,1,7,7,0,50,3.5,1,50,RB,
,Antonio Gibson,7,Sun,3,3,9/24/2023,25-093,WAS,,BUF,L 3-37,5,3,7,2.3,0,60,1.4,1,20,RB,
,Antonio Gibson,7,Sun,4,4,10/1/2023,25-100,WAS,@,PHI,L 31-34 (OT),1,1,7,7,0,100,7,1,100,RB,
,C.J. Ham,7,Sun,1,1,9/10/2023,30-050,MIN,,TAM,L 17-20,3,2,7,3.5,0,66.7,2.3,,33.3,FB,
,C.J. Ham,7,Sun,3,3,9/24/2023,30-064,MIN,,LAC,L 24-28,1,1,7,7,0,100,7,1,100,FB,
,Taysom Hill,7,Sun,4,4,10/1/2023,33-039,NOR,,TAM,L 9-26,1,1,7,7,0,100,7,0,0,TE/QB,
,Hayden Hurst,7,Sun,4,4,10/1/2023,30-038,CAR,,MIN,L 13-21,3,1,7,7,0,33.3,2.3,1,33.3,TE,
,Rakim Jarrett,7,Sun,2,2,9/17/2023,22-236,TAM,,CHI,W 27-17,1,1,7,7,0,100,7,,100,WR,
,Quentin Johnston,7,Sun,2,2,9/17/2023,22-011,LAC,@,TEN,L 24-27 (OT),2,1,7,7,0,50,3.5,,50,WR,
,Isaiah McKenzie,7,Sun,2,2,9/17/2023,28-161,IND,@,HOU,W 31-20,1,1,7,7,0,100,7,,100,WR,
,David Montgomery,7,Sun,2,2,9/17/2023,26-102,DET,,SEA,L 31-37 (OT),1,1,7,7,0,100,7,1,100,RB,
,Chigoziem Okonkwo,7,Sun,3,3,9/24/2023,24-016,TEN,@,CLE,L 3-27,4,3,7,2.3,0,75,1.8,,25,TE,
,Donald Parham,7,Sun,2,2,9/17/2023,26-032,LAC,@,TEN,L 24-27 (OT),2,1,7,7,0,50,3.5,1,50,TE,
,Cordarrelle Patterson,7,Sun,5,5,10/8/2023,32-205,ATL,,HOU,W 21-19,1,1,7,7,0,100,7,,100,RB,
,Donovan Peoples-Jones,7,Mon,2,2,9/18/2023,24-211,CLE,@,PIT,L 22-26,4,1,7,7,0,25,1.8,,25,WR,
,Donovan Peoples-Jones,7,Sun,4,4,10/1/2023,24-224,CLE,,BAL,L 3-28,4,1,7,7,0,25,1.8,,25,WR,
,Jayden Reed,7,Mon,5,5,10/9/2023,23-164,GNB,@,LVR,L 13-17,2,1,7,7,0,50,3.5,,0,WR,
,Hunter Renfrow,7,Mon,5,5,10/9/2023,27-292,LVR,,GNB,W 17-13,2,1,7,7,0,50,3.5,,50,WR,
,Brian Robinson Jr.,7,Sun,1,1,9/10/2023,24-172,WAS,,ARI,W 20-16,2,1,7,7,1,50,3.5,1,50,RB,
,Drew Sample,7,Mon,3,3,9/25/2023,27-162,CIN,,LAR,W 19-16,1,1,7,7,0,100,7,,0,TE,
,Boston Scott,7,Sun,1,1,9/10/2023,28-136,PHI,@,NWE,W 25-20,1,1,7,7,0,100,7,,0,RB,
,Brenton Strange,7,Sun,3,3,9/24/2023,22-271,JAX,,HOU,L 17-37,2,2,7,3.5,0,100,3.5,,0,TE,
,Josh Whyle,7,Sun,5,5,10/8/2023,24-030,TEN,@,IND,L 16-23,1,1,7,7,0,100,7,1,100,TE,
,Mitchell Wilcox,7,Sun,4,4,10/1/2023,26-328,CIN,@,TEN,L 3-27,1,1,7,7,0,100,7,,100,TE,
,Jamaal Williams,7,Sun,1,1,9/10/2023,28-160,NOR,,TEN,W 16-15,2,2,7,3.5,0,100,3.5,0,50,RB,
,Jordan Akins,6,Sun,4,4,10/1/2023,31-165,CLE,,BAL,L 3-28,2,1,6,6,0,50,3,,50,TE,
,John Bates,6,Sun,4,4,10/1/2023,25-329,WAS,@,PHI,L 31-34 (OT),1,1,6,6,0,100,6,,100,TE,
,Rashod Bateman,6,Sun,3,3,9/24/2023,23-299,BAL,,IND,L 19-22 (OT),3,1,6,6,0,33.3,2,1,33.3,WR,
,Daniel Bellinger,6,Mon,4,4,10/2/2023,23-010,NYG,,SEA,L 3-24,1,1,6,6,0,100,6,,100,TE,
,Gary Brightwell,6,Sun,1,1,9/10/2023,24-194,NYG,,DAL,L 0-40,2,2,6,3,0,100,3,,50,RB,
,Ezekiel Elliott,6,Sun,4,4,10/1/2023,28-071,NWE,@,DAL,L 3-38,3,2,6,3,0,66.7,2,0,33.3,RB,
,Zach Ertz,6,Sun,3,3,9/24/2023,32-318,ARI,,DAL,W 28-16,2,2,6,3,0,100,3,,50,TE,
,Mecole Hardman,6,Sun,2,2,9/17/2023,25-189,NYJ,@,DAL,L 10-30,1,1,6,6,0,100,6,,100,WR,
,Evan Hull,6,Sun,1,1,9/10/2023,22-319,IND,,JAX,L 21-31,1,1,6,6,0,100,6,,100,RB,
,Richie James,6,Thu,1,1,9/7/2023,28-002,KAN,,DET,L 20-21,2,1,6,6,0,50,3,,50,WR,
,D'Ernest Johnson,6,Sun,3,3,9/24/2023,27-209,JAX,,HOU,L 17-37,2,2,6,3,0,100,3,1,50,RB,
,Charlie Jones,6,Mon,3,3,9/25/2023,24-331,CIN,,LAR,W 19-16,2,1,6,6,0,50,3,1,50,WR,
,Isaiah McKenzie,6,Sun,4,4,10/1/2023,28-175,IND,,LAR,L 23-29 (OT),3,1,6,6,0,33.3,2,1,33.3,WR,
,Foster Moreau,6,Sun,5,5,10/8/2023,26-155,NOR,@,NWE,W 34-0,1,1,6,6,1,100,6,1,100,TE,
,Raheem Mostert,6,Sun,2,2,9/17/2023,31-161,MIA,@,NWE,W 24-17,1,1,6,6,0,100,6,0,100,RB,
,Latavius Murray,6,Sun,3,3,9/24/2023,33-249,BUF,@,WAS,W 37-3,1,1,6,6,0,100,6,1,100,RB,
,Trey Palmer,6,Sun,4,4,10/1/2023,22-182,TAM,@,NOR,W 26-9,3,2,6,3,1,66.7,2,1,66.7,WR,
,Brian Robinson Jr.,6,Sun,4,4,10/1/2023,24-193,WAS,@,PHI,L 31-34 (OT),2,2,6,3,0,100,3,0,0,RB,
,Justyn Ross,6,Thu,1,1,9/7/2023,23-266,KAN,,DET,L 20-21,1,1,6,6,0,100,6,,100,WR,
,Tyler Scott,6,Sun,3,3,9/24/2023,21-347,CHI,@,KAN,L 10-41,3,1,6,6,0,33.3,2,,33.3,WR,
,Sterling Shepard,6,Mon,4,4,10/2/2023,30-234,NYG,,SEA,L 3-24,1,1,6,6,0,100,6,,0,WR,
,DeVonta Smith,6,Sun,5,5,10/8/2023,24-328,PHI,@,LAR,W 23-14,5,1,6,6,0,20,1.2,,20,WR,
,JuJu Smith-Schuster,6,Sun,5,5,10/8/2023,26-320,NWE,,NOR,L 0-34,4,3,6,2,0,75,1.5,,0,WR,
,Tyjae Spears,6,Sun,2,2,9/17/2023,22-094,TEN,,LAC,W 27-24 (OT),2,2,6,3,0,100,3,0,0,RB,
,Jack Stoll,6,Mon,3,3,9/25/2023,25-240,PHI,@,TAM,W 25-11,2,1,6,6,0,50,3,,50,TE,
,D'Andre Swift,6,Thu,2,2,9/14/2023,24-243,PHI,,MIN,W 34-28,3,3,6,2,0,100,2,0,0,RB,
,Deven Thompkins,6,Mon,3,3,9/25/2023,23-276,TAM,,PHI,L 11-25,4,2,6,3,0,50,1.5,,25,WR,
,Samori Toure,6,Sun,2,2,9/17/2023,25-177,GNB,@,ATL,L 24-25,2,1,6,6,0,50,3,1,50,WR,
,Marquez Valdes-Scantling,6,Sun,4,4,10/1/2023,28-356,KAN,@,NYJ,W 23-20,2,1,6,6,0,50,3,1,50,WR,
,Emanuel Wilson,6,Sun,3,3,9/24/2023,24-139,GNB,,NOR,W 18-17,1,1,6,6,0,100,6,,100,RB,
,Ameer Abdullah,5,Sun,2,2,9/17/2023,30-096,LVR,@,BUF,L 10-38,3,1,5,5,0,33.3,1.7,,33.3,RB,
,Jamal Agnew,5,Sun,2,2,9/17/2023,28-167,JAX,,KAN,L 9-17,1,1,5,5,0,100,5,1,100,WR,
,Jake Bobo,5,Sun,3,3,9/24/2023,25-051,SEA,,CAR,W 37-27,2,1,5,5,1,50,2.5,1,50,WR,
,Miles Boykin,5,Mon,2,2,9/18/2023,26-341,PIT,,CLE,W 26-22,1,1,5,5,0,100,5,,0,WR,
,Harrison Bryant,5,Sun,1,1,9/10/2023,25-140,CLE,,CIN,W 24-3,2,2,5,2.5,1,100,2.5,1,50,TE,
,Treylon Burks,5,Sun,3,3,9/24/2023,23-185,TEN,@,CLE,L 3-27,6,1,5,5,0,16.7,0.8,,16.7,WR,
,DeAndre Carter,5,Sun,1,1,9/10/2023,30-153,LVR,@,DEN,W 17-16,1,1,5,5,0,100,5,,100,WR,
,Dalvin Cook,5,Sun,2,2,9/17/2023,28-038,NYJ,@,DAL,L 10-30,1,1,5,5,0,100,5,,0,RB,
,Derius Davis,5,Sun,1,1,9/10/2023,22-364,LAC,,MIA,L 34-36,1,1,5,5,0,100,5,,100,WR,
,Josiah Deguara,5,Sun,2,2,9/17/2023,26-215,GNB,@,ATL,L 24-25,2,2,5,2.5,0,100,2.5,1,50,TE,
,Kenneth Gainwell,5,Mon,3,3,9/25/2023,24-195,PHI,@,TAM,W 25-11,2,1,5,5,0,50,2.5,,50,RB,
,Brycen Hopkins,5,Sun,4,4,10/1/2023,26-188,LAR,@,IND,W 29-23 (OT),1,1,5,5,0,100,5,,100,TE,
,Joshua Kelley,5,Sun,3,3,9/24/2023,25-308,LAC,@,MIN,W 28-24,1,1,5,5,0,100,5,0,100,RB,
,Tucker Kraft,5,Thu,4,4,9/28/2023,22-329,GNB,,DET,L 20-34,2,2,5,2.5,0,100,2.5,,50,TE,
,Trey McBride,5,Sun,4,4,10/1/2023,23-313,ARI,@,SFO,L 16-35,1,1,5,5,0,100,5,,100,TE,
,Kendre Miller,5,Sun,4,4,10/1/2023,21-112,NOR,,TAM,L 9-26,1,1,5,5,0,100,5,,0,RB,
,Joe Mixon,5,Mon,3,3,9/25/2023,27-063,CIN,,LAR,W 19-16,2,1,5,5,0,50,2.5,0,50,RB,
,Ty Montgomery,5,Sun,5,5,10/8/2023,30-259,NWE,,NOR,L 0-34,4,1,5,5,0,25,1.3,,25,RB,
,Rashaad Penny,5,Thu,2,2,9/14/2023,27-224,PHI,,MIN,W 34-28,1,1,5,5,0,100,5,0,100,RB,
,Alec Pierce,5,Sun,1,1,9/10/2023,23-131,IND,,JAX,L 21-31,3,1,5,5,0,33.3,1.7,1,33.3,WR,
,Brandon Powell,5,Sun,3,3,9/24/2023,28-012,MIN,,LAC,L 24-28,1,1,5,5,0,100,5,,0,WR,
,Adam Prentice,5,Sun,4,4,10/1/2023,26-258,NOR,,TAM,L 9-26,2,1,5,5,0,50,2.5,,50,FB,
,Khalil Shakir,5,Sun,3,3,9/24/2023,23-233,BUF,@,WAS,W 37-3,1,1,5,5,0,100,5,1,100,WR,
,Jaxon Smith-Njigba,5,Mon,4,4,10/2/2023,21-230,SEA,@,NYG,W 24-3,6,3,5,1.7,0,50,0.8,,0,WR,
,JuJu Smith-Schuster,5,Sun,3,3,9/24/2023,26-306,NWE,@,NYJ,W 15-10,3,1,5,5,0,33.3,1.7,1,33.3,WR,
,Patrick Taylor,5,Mon,5,5,10/9/2023,25-163,GNB,@,LVR,L 13-17,5,2,5,2.5,0,40,1,1,20,RB,
,Cedric Tillman,5,Sun,4,4,10/1/2023,23-165,CLE,,BAL,L 3-28,3,1,5,5,0,33.3,1.7,1,33.3,WR,
,KaVontae Turpin,5,Sun,4,4,10/1/2023,27-060,DAL,,NWE,W 38-3,1,1,5,5,0,100,5,1,100,WR,
,Justin Watson,5,Sun,4,4,10/1/2023,28-180,KAN,@,NYJ,W 23-20,1,1,5,5,0,100,5,,100,WR,
,Zamir White,5,Sun,1,1,9/10/2023,23-357,LVR,@,DEN,W 17-16,1,1,5,5,0,100,5,,0,RB,
,Javonte Williams,5,Sun,1,1,9/10/2023,23-138,DEN,,LVR,L 16-17,6,4,5,1.3,0,66.7,0.8,0,16.7,RB,
,De'Von Achane,4,Sun,2,2,9/17/2023,21-339,MIA,@,NWE,W 24-17,1,1,4,4,0,100,4,,0,RB,
,Nelson Agholor,4,Sun,4,4,10/1/2023,30-130,BAL,@,CLE,W 28-3,2,1,4,4,0,50,2,,0,WR,
,Ty Chandler,4,Sun,3,3,9/24/2023,25-135,MIN,,LAC,L 24-28,2,1,4,4,0,50,2,0,50,RB,
,James Conner,4,Sun,4,4,10/1/2023,28-149,ARI,@,SFO,L 16-35,2,1,4,4,0,50,2,0,0,RB,
,Romeo Doubs,4,Mon,5,5,10/9/2023,23-179,GNB,@,LVR,L 13-17,4,1,4,4,0,25,1,1,25,WR,
,Luke Farrell,4,Sun,3,3,9/24/2023,25-345,JAX,,HOU,L 17-37,1,1,4,4,0,100,4,,100,TE,
,Xavier Gipson,4,Sun,4,4,10/1/2023,22-207,NYJ,,KAN,L 20-23,1,1,4,4,0,100,4,0,0,WR,
,Deonte Harty,4,Sun,2,2,9/17/2023,25-287,BUF,,LVR,W 38-10,3,2,4,2,0,66.7,1.3,,33.3,WR,
,Khalil Herbert,4,Sun,3,3,9/24/2023,25-156,CHI,@,KAN,L 10-41,2,2,4,2,0,100,2,0,0,RB,
,Lil'Jordan Humphrey,4,Sun,2,2,9/17/2023,25-151,DEN,,WAS,L 33-35,2,1,4,4,0,50,2,,50,WR,
,Brandon Johnson,4,Sun,4,4,10/1/2023,25-067,DEN,@,CHI,W 31-28,1,1,4,4,1,100,4,1,100,WR,
,Kyle Juszczyk,4,Sun,4,4,10/1/2023,32-161,SFO,,ARI,W 35-16,1,1,4,4,0,100,4,,100,FB,
,Isaiah Likely,4,Sun,1,1,9/10/2023,23-145,BAL,,HOU,W 25-9,1,1,4,4,0,100,4,,100,TE,
,Marvin Mims,4,Sun,5,5,10/8/2023,21-203,DEN,,NYJ,L 21-31,1,1,4,4,0,100,4,,0,WR,
,Chris Olave,4,Sun,4,4,10/1/2023,23-096,NOR,,TAM,L 9-26,6,1,4,4,0,16.7,0.7,,0,WR,
,Josh Oliver,4,Sun,3,3,9/24/2023,26-187,MIN,,LAC,L 24-28,2,2,4,2,1,100,2,1,50,TE,
,Josh Palmer,4,Sun,1,1,9/10/2023,23-353,LAC,,MIA,L 34-36,1,1,4,4,0,100,4,,100,WR,
,Donald Parham,4,Sun,3,3,9/24/2023,26-039,LAC,@,MIN,W 28-24,2,2,4,2,2,100,2,2,100,TE,
,Dameon Pierce,4,Sun,2,2,9/17/2023,23-210,HOU,,IND,L 20-31,3,2,4,2,0,66.7,1.3,0,33.3,RB,
,Byron Pringle,4,Sun,2,2,9/17/2023,29-304,WAS,@,DEN,W 35-33,1,1,4,4,0,100,4,,100,WR,
,Ronnie Rivers,4,Sun,2,2,9/17/2023,24-229,LAR,,SFO,L 23-30,1,1,4,4,0,100,4,,0,RB,
,Miles Sanders,4,Mon,2,2,9/18/2023,26-140,CAR,,NOR,L 17-20,5,3,4,1.3,0,60,0.8,0,0,RB,
,Dalton Schultz,4,Sun,1,1,9/10/2023,27-061,HOU,@,BAL,L 9-25,4,2,4,2,0,50,1,,25,TE,
,Trey Sermon,4,Sun,3,3,9/24/2023,24-237,IND,@,BAL,W 22-19 (OT),2,1,4,4,0,50,2,,0,RB,
,Sterling Shepard,4,Sun,2,2,9/17/2023,30-219,NYG,@,ARI,W 31-28,1,1,4,4,0,100,4,1,100,WR,
,Devin Singletary,4,Sun,3,3,9/24/2023,26-021,HOU,@,JAX,W 37-17,2,2,4,2,0,100,2,0,0,RB,
,Jack Stoll,4,Sun,5,5,10/8/2023,25-253,PHI,@,LAR,W 23-14,1,1,4,4,0,100,4,,100,TE,
,Quez Watkins,4,Sun,5,5,10/8/2023,25-121,PHI,@,LAR,W 23-14,3,2,4,2,0,66.7,1.3,,33.3,WR,
,Kyren Williams,4,Sun,5,5,10/8/2023,23-043,LAR,,PHI,L 14-23,2,2,4,2,0,100,2,0,50,RB,
