Rk,Player,Yds,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,Pos.,
,Tommy Tremble,15,Sun,3,3,9/24/2023,23-114,CAR,@,SEA,L 27-37,1,1,15,15,0,100,15,,100,TE,
,Ameer Abdullah,14,Sun,4,4,10/1/2023,30-110,LVR,@,LAC,L 17-24,2,2,14,7,0,100,7,1,50,RB,
,De'Von Achane,14,Sun,5,5,10/8/2023,21-360,MIA,,NYG,W 31-16,1,1,14,14,0,100,14,1,100,RB,
,Michael Carter,14,Sun,5,5,10/8/2023,24-154,NYJ,@,DEN,W 31-21,3,3,14,4.7,0,100,4.7,,33.3,RB,
,Zach Charbonnet,14,Sun,2,2,9/17/2023,22-252,SEA,@,DET,W 37-31 (OT),2,2,14,7,0,100,7,0,100,RB,
,James Cook,14,Sun,3,3,9/24/2023,23-364,BUF,@,WAS,W 37-3,3,2,14,7,0,66.7,4.7,1,66.7,RB,
,DeeJay Dallas,14,Sun,1,1,9/10/2023,24-359,SEA,,LAR,L 13-30,1,1,14,14,0,100,14,1,100,RB,
,Ezekiel Elliott,14,Sun,1,1,9/10/2023,28-050,NWE,,PHI,L 20-25,7,5,14,2.8,0,71.4,2,0,28.6,RB,
,Deon Jackson,14,Sun,1,1,9/10/2023,24-204,IND,,JAX,L 21-31,6,5,14,2.8,0,83.3,2.3,0,33.3,RB,
,Rondale Moore,14,Sun,2,2,9/17/2023,23-100,ARI,,NYG,L 28-31,1,1,14,14,0,100,14,1,100,WR,
,Patrick Ricard,14,Sun,4,4,10/1/2023,29-127,BAL,@,CLE,W 28-3,1,1,14,14,0,100,14,1,100,FB,
,Tyler Scott,14,Sun,1,1,9/10/2023,21-333,CHI,,GNB,L 20-38,2,2,14,7,0,100,7,1,100,WR,
,JuJu Smith-Schuster,14,Sun,4,4,10/1/2023,26-313,NWE,@,DAL,L 3-38,5,1,14,14,0,20,2.8,,0,WR,
,Javonte Williams,14,Sun,2,2,9/17/2023,23-145,DEN,,WAS,L 33-35,3,2,14,7,0,66.7,4.7,0,33.3,RB,
,Odell Beckham Jr.,13,Sun,5,5,10/8/2023,30-337,BAL,@,PIT,L 10-17,4,2,13,6.5,0,50,3.3,,50,WR,
,Braxton Berrios,13,Sun,5,5,10/8/2023,28-002,MIA,,NYG,W 31-16,2,2,13,6.5,0,100,6.5,1,50,WR,
,River Cracraft,13,Sun,3,3,9/24/2023,28-327,MIA,,DEN,W 70-20,1,1,13,13,0,100,13,1,100,WR,
,Elijah Dotson,13,Sun,2,2,9/17/2023,24-241,LAC,@,TEN,L 24-27 (OT),2,2,13,6.5,0,100,6.5,,100,RB,
,Breece Hall,13,Sun,4,4,10/1/2023,22-123,NYJ,,KAN,L 20-23,4,3,13,4.3,0,75,3.3,0,25,RB,
,Justice Hill,13,Sun,5,5,10/8/2023,25-328,BAL,@,PIT,L 10-17,4,4,13,3.3,0,100,3.3,1,50,RB,
